"PARENT_CATEGORY_CATEGORY_CODE","CHILD_CATEGORY_CATEGORY_CODE","ADVERTISER_CID","SUM(SUM_COMM_AMOUNT_USD)"
309,312,1723937,1264.732
309,312,1732503,1567.135
309,312,1733081,1215
309,312,1737892,5959.974
309,312,1749985,9063.159
309,312,1788210,6570
309,312,1808120,1378.5
309,312,1825555,3121.42
309,312,1874913,2941.313
309,312,1876573,4076.696
309,312,1896463,7425
309,312,1905878,7778.926
309,312,2011341,1793.639
309,312,2189066,8657.984
309,312,2315952,2815.949
309,312,2428345,61839
309,312,2509123,17076.9
309,312,2522262,5725.992
309,312,2528668,78637.559
309,312,2626374,1642.029
309,312,2691614,11417.343
309,312,2844946,2728.548
309,312,2916100,1259.65
309,312,2937379,3374.595
309,312,2954255,3542.198
309,312,2962777,2427.316
309,312,2971897,8292.803
309,312,2983194,28114.468
309,312,3007908,2245.998
309,312,3065612,1825
309,312,3102643,2190.822
309,312,3102957,1398.47
309,312,3143903,1517.092
309,312,3232944,13580.509
309,312,3248095,7772.722
309,312,3329426,3956.574
309,312,3345701,3607.169
309,312,3361226,43184.287
309,312,3468116,6772.442
309,312,3484321,2385.185
309,312,3486502,1536.088
309,312,3724478,9149.545
