"COMPANY","ID","CATEGORY"
4561874,7844948,327
4561877,7844951,410
4561878,7844952,346
4561878,7844966,391
4561879,7844953,501
4561879,7844975,501
4561879,7844976,501
4561880,7844954,305
4561881,7844958,621
4561883,7844959,1047
4561884,7844960,374
4561885,7844961,316
4561886,7844962,317
4561887,7844963,376
4561888,7844964,360
4561889,7844965,333
4561890,7844969,323
4561893,7844970,336
4561894,7844971,581
4561894,7845749,301
4561894,7845753,581
4561894,7845754,581
4561895,7844973,319
4561898,7844977,342
4561898,7844996,376
4561902,7844978,417
4561904,7844979,333
4561905,7844980,395
4561906,7844981,360
4561907,7844992,409
4561908,7844993,410
4561910,7844994,1051
4561911,7844997,316
4561912,7844998,409
4561913,7844999,374
4561915,7845000,370
4561916,7845001,340
4561916,7845069,391
4561918,7845002,406
4561920,7845003,385
4561921,7845004,302
4561923,7845005,421
4561924,7845006,1022
4561925,7845007,1022
4561926,7845008,316
4561927,7845009,339
4561928,7845010,305
4561929,7845011,397
4561932,7845012,340
4561933,7845013,371
4561934,7845014,1022
4561935,7845017,1022
4561936,7845018,1022
4561937,7845019,340
4561938,7845020,1106
4561939,7845021,333
4561939,7845034,380
4561941,7845022,1022
4561942,7845023,1022
4561943,7845025,323
4561944,7845027,395
4561945,7845028,328
4561946,7845029,316
4561948,7845030,392
4561948,7845033,581
4561950,7845031,323
4561951,7845032,1022
4561953,7845035,381
4561954,7845036,395
4561955,7845038,316
4561956,7845039,342
4561957,7845040,316
4561958,7845041,320
4561960,7845043,316
4561961,7845044,381
4561962,7845058,323
4561963,7845059,333
4561964,7845060,392
4561964,7845088,301
4561965,7845061,306
4561966,7845064,409
4561967,7845065,393
4561968,7845068,802
4561969,7845071,359
4561970,7845072,641
4561971,7845073,313
4561972,7845074,322
4561973,7845075,1033
4561974,7845078,397
4561975,7845080,374
4561977,7845081,323
4561978,7845082,307
4561979,7845083,356
4561980,7845084,347
4561982,7845085,395
4561983,7845087,329
4561984,7845089,416
4561984,7845103,386
4561985,7845090,1022
4561986,7845091,381
4561987,7845095,406
4561987,7845100,307
4561988,7845097,316
4561989,7845098,355
4561990,7845099,313
